API log file 
Start date 1970-01-01 00:00:22 
Logging level 15

1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuImageWrite(...)
1970-01-01 00:00:22: API_LOG:adi_adrv9025_CpuMemWrite(...)
1970-01-01 00:00:22: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:23: API_LOG:adrv9025_SpiCfgSet(...)
1970-01-01 00:00:23: API_LOG:adi_adrv9025_CpuImageWrite(...)
